1.49422	-21.52550
1.49424	-12.99744
1.49426	-8.59391
1.49429	-8.08308
1.49431	-9.12379
1.49433	-9.66630
1.49435	-8.62606
1.49438	-8.61318
1.49440	-9.63088
1.49442	-11.57671
1.49444	-18.94027
1.49447	-22.90614
1.49449	-15.36543
1.49451	-17.68418
1.49454	-38.13848
1.49456	-23.38585
1.49458	-53.78750
1.49460	-12.53194
1.49463	-6.24508
1.49465	-3.66063
1.49467	-1.73497
1.49469	-1.01712
1.49472	-3.00823
1.49474	-8.47988
1.49476	-17.15832
1.49478	-25.31036
1.49481	-27.93048
1.49483	-12.65965
1.49485	-6.81269
1.49488	-4.49184
1.49490	-4.11129
1.49492	-5.29913
1.49494	-8.96758
1.49497	-19.93609
1.49499	-16.36616
1.49501	-9.05210
1.49503	-6.95379
1.49506	-6.75885
1.49508	-7.36042
1.49510	-8.18042
1.49512	-10.55835
1.49515	-23.68856
1.49517	-14.52867
1.49519	-11.92848
1.49522	-28.44056
1.49524	-11.30852
1.49526	-8.50807
1.49528	-11.02003
1.49531	-16.24317
1.49533	-24.38008
1.49535	-31.09007
1.49537	-18.35509
1.49540	-14.43878
1.49542	-13.85649
1.49544	-18.65864
1.49546	-32.36746
1.49549	-37.92713
1.49551	-12.24286
1.49553	-6.57552
1.49556	-7.86796
1.49558	-22.51505
1.49560	-13.75386
1.49562	-12.66306
1.49565	-15.13833
1.49567	-14.70553
1.49569	-13.98948
1.49571	-15.71760
1.49574	-22.55053
1.49576	-51.92744
1.49578	-41.36584
1.49580	-32.92436
1.49583	-18.71790
1.49585	-11.22125
1.49587	-8.67557
1.49590	-10.36214
1.49592	-25.44328
1.49594	-13.27894
1.49596	-9.13137
1.49599	-8.34236
1.49601	-7.58220
1.49603	-6.61176
1.49605	-6.56253
1.49608	-7.97884
1.49610	-11.09483
1.49612	-16.70592
1.49615	-27.53032
1.49617	-42.70477
1.49619	-29.22440
1.49621	-11.83894
1.49624	-3.90524
1.49626	-0.71202
1.49628	-0.08551
1.49630	-1.27573
1.49633	-5.48156
1.49635	-21.88350
1.49637	-10.75270
1.49639	-6.74673
1.49642	-5.82455
1.49644	-5.39875
1.49646	-5.66026
1.49649	-8.85298
1.49651	-26.55295
1.49653	-6.32597
1.49655	-4.83601
1.49658	-9.21444
1.49660	-24.34504
1.49662	-15.88928
1.49664	-11.55964
1.49667	-15.25881
1.49669	-23.39760
1.49671	-10.09961
1.49673	-5.74664
1.49676	-3.23067
1.49678	-2.63772
1.49680	-5.52401
1.49683	-16.60850
1.49685	-13.71649
1.49687	-7.39078
1.49689	-5.96617
1.49692	-6.93669
1.49694	-11.94105
1.49696	-21.31326
1.49698	-8.81121
1.49701	-7.99679
1.49703	-10.46146
1.49705	-12.35536
1.49707	-12.51288
1.49710	-16.48737
1.49712	-20.69449
1.49714	-8.51655
1.49717	-5.56718
1.49719	-5.78680
